	XP_004038851.3	XP_003832390.1	BAG60658.1	XP_003265777.1	BAF47379.1	XP_031520350.1	XP_007997053.1	XP_007990725.1	XP_004064730.2	BAA04809.1	XP_005594386.3	XP_003262229.2	XP_003819736.1	XP_003918170.2	2N3Y_A	XP_008012095.1	XP_034805654.1	EHH57445.1	XP_030861652.1	XP_009191090.1	XP_030662293.1	XP_030666800.1	XP_009184116.1	XP_037840674.1	XP_014202872.1	XP_045239232.2	XP_055236303.1	8Y6F_A	XP_008002752.1	XP_004050475.2	AAA59179.1	XP_065383852.1	XP_003281399.1	XP_034787832.1	XP_003909425.2	NP_002273.3	XP_003831112.2	XP_030678475.1	XP_018893533.1	XP_005570980.3	XP_008001520.2	XP_003906457.1	AAC17185.1	XP_063556699.1	XP_034798266.3	XP_009187945.3	XP_030656388.1	XP_005582958.3	XP_037843238.1	XP_057156345.1	XP_004058559.3	XP_030656345.1	ABL09846.1	XP_008008385.1	XP_003912321.1	AAB91535.1
XP_005594386.3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.010669999999999957	0.02964	0.03964000000000001	0.0	0.03260000000000007	0.03081999999999996	0.004150000000000098	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_003262229.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.033199999999999896	0.021930000000000005	0.030769999999999964	0.03260000000000007	0.0	0.021930000000000005	0.033199999999999896	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_003819736.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.031420000000000003	0.011860000000000093	0.016569999999999974	0.03081999999999996	0.021930000000000005	0.0	0.031420000000000003	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.69048	1.0	1.0	1.0	1.0
XP_003918170.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.011260000000000048	0.03022999999999998	0.040240000000000054	0.004150000000000098	0.033199999999999896	0.031420000000000003	0.0	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2N3Y_A	0.55	0.6	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.05769000000000002	0.06730999999999998	0.07691999999999988	0.07691999999999988	0.07691999999999988	0.08653999999999995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_008012095.1	0.55	0.6	0.6	1.0	1.0	1.0	1.0	0.63636	0.63636	0.63636	0.63636	0.63636	0.63636	0.63636	0.05769000000000002	0.0	0.07618999999999998	0.09523999999999999	0.08570999999999995	0.01905000000000001	0.10475999999999996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_034805654.1	0.55	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.06730999999999998	0.07618999999999998	0.0	0.10475999999999996	0.03810000000000002	0.09523999999999999	0.06667000000000001	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
EHH57445.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07691999999999988	0.09523999999999999	0.10475999999999996	0.0	0.11429	0.09523999999999999	0.11429	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_030861652.1	0.55	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07691999999999988	0.08570999999999995	0.03810000000000002	0.11429	0.0	0.10475999999999996	0.08570999999999995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_009191090.1	0.55	0.6	0.6	1.0	1.0	1.0	1.0	0.63636	0.63636	0.63636	0.63636	0.63636	0.63636	0.63636	0.07691999999999988	0.01905000000000001	0.09523999999999999	0.09523999999999999	0.10475999999999996	0.0	0.10475999999999996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_030662293.1	0.55	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.08653999999999995	0.10475999999999996	0.06667000000000001	0.11429	0.08570999999999995	0.10475999999999996	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_030666800.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.010929999999999995	0.0218600000000001	0.02732000000000001	0.02732000000000001	0.038250000000000006	0.05291000000000001	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_009184116.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.010929999999999995	0.0	0.010929999999999995	0.02732000000000001	0.016389999999999905	0.038250000000000006	0.05291000000000001	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_037840674.1	1.0	1.0	1.0	1.0	1.0	1.0	0.35714	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0218600000000001	0.010929999999999995	0.0	0.032789999999999986	0.02732000000000001	0.04918000000000011	0.06349000000000005	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_014202872.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.02732000000000001	0.02732000000000001	0.032789999999999986	0.0	0.04371999999999998	0.05464000000000002	0.06877999999999995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.6	0.6	1.0	0.6	0.6	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_045239232.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.02732000000000001	0.016389999999999905	0.02732000000000001	0.04371999999999998	0.0	0.04918000000000011	0.06877999999999995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_055236303.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.038250000000000006	0.038250000000000006	0.04918000000000011	0.05464000000000002	0.04918000000000011	0.0	0.07936999999999994	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.65	1.0	0.65	0.65	0.65	0.65	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0
8Y6F_A	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.6	0.6	0.6	0.6	0.6	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.05291000000000001	0.05291000000000001	0.06349000000000005	0.06877999999999995	0.06877999999999995	0.07936999999999994	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_008002752.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.026089999999999947	0.04544999999999999	0.020409999999999928	0.009090000000000042	0.17703000000000002	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_004050475.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.026089999999999947	0.0	0.027270000000000016	0.017390000000000017	0.018179999999999974	0.25980000000000003	0.027270000000000016	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AAA59179.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.04544999999999999	0.027270000000000016	0.0	0.03635999999999995	0.03635999999999995	0.03635999999999995	0.04544999999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_065383852.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.020409999999999928	0.017390000000000017	0.03635999999999995	0.0	0.0	0.05441999999999991	0.009090000000000042	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_003281399.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.009090000000000042	0.018179999999999974	0.03635999999999995	0.0	0.0	0.018179999999999974	0.009090000000000042	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_034787832.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.17703000000000002	0.25980000000000003	0.03635999999999995	0.05441999999999991	0.018179999999999974	0.0	0.027270000000000016	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_003909425.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.027270000000000016	0.04544999999999999	0.009090000000000042	0.009090000000000042	0.027270000000000016	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
NP_002273.3	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0020299999999999763	0.012199999999999989	0.0040600000000000636	0.02032999999999996	0.014229999999999965	0.018289999999999917	0.77852	0.72973	0.72436	0.7735000000000001	0.77705	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_003831112.2	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0020299999999999763	0.0	0.012199999999999989	0.0020299999999999763	0.02032999999999996	0.014229999999999965	0.018289999999999917	0.77852	0.68519	0.72436	0.7735000000000001	0.77705	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_030678475.1	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.012199999999999989	0.012199999999999989	0.0	0.010160000000000058	0.01419999999999999	0.012170000000000014	0.01419999999999999	0.7449	0.68519	0.73171	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_018893533.1	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0040600000000000636	0.0020299999999999763	0.010160000000000058	0.0	0.018289999999999917	0.016260000000000052	0.018289999999999917	0.77852	0.72973	0.72638	0.7735000000000001	0.77705	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_005570980.3	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.02032999999999996	0.02032999999999996	0.01419999999999999	0.018289999999999917	0.0	0.006089999999999929	0.008110000000000062	0.7222200000000001	0.68519	0.72414	0.7735000000000001	0.77705	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_008001520.2	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.014229999999999965	0.014229999999999965	0.012170000000000014	0.016260000000000052	0.006089999999999929	0.0	0.0040600000000000636	0.77852	0.68519	0.72414	0.7735000000000001	0.77705	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_003906457.1	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	0.47058999999999995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.018289999999999917	0.018289999999999917	0.01419999999999999	0.018289999999999917	0.008110000000000062	0.0040600000000000636	0.0	0.77852	0.72973	0.72414	0.7735000000000001	0.77705	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AAC17185.1	0.62069	0.67308	0.67308	0.71429	0.71429	0.71429	0.71429	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.77852	0.77852	0.7449	0.77852	0.7222200000000001	0.77852	0.77852	0.0	0.007730000000000015	0.010330000000000061	0.015999999999999903	0.014970000000000039	0.017039999999999944	0.017530000000000046	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_063556699.1	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.72973	0.68519	0.68519	0.72973	0.68519	0.68519	0.72973	0.007730000000000015	0.0	0.007219999999999893	0.014429999999999943	0.011860000000000093	0.01546000000000003	0.013919999999999932	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_034798266.3	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.72436	0.72436	0.73171	0.72638	0.72414	0.72414	0.72414	0.010330000000000061	0.007219999999999893	0.0	0.015490000000000115	0.010849999999999915	0.01651999999999998	0.015469999999999984	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_009187945.3	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.015999999999999903	0.014429999999999943	0.015490000000000115	0.0	0.015999999999999903	0.005160000000000053	0.007219999999999893	1.0	1.0	1.0	1.0	1.0	1.0	1.0
