	albumin-gorilla_gorilla_gorilla	albumin-pan_paniscus	albumin-homo_sapiens	albumin-nomascus_leucogenys	albumin-macaca_fascicularis	albumin-papio_anubis	albumin-chlorocebus_sabaeus	collagen-chlorocebus_sabaeus	collagen-gorilla_gorilla_gorilla	collagen-homo_sapiens	collagen-macaca_fascicularis	collagen-nomascus_leucogenys	collagen-pan_paniscus	collagen-papio_anubis	cytochrome-homo_sapiens	cytochrome-chlorocebus_sabaeus	cytochrome-pan_paniscus	cytochrome-macaca_fascicularis	cytochrome-gorilla_gorilla_gorilla	cytochrome-papio_anubis	cytochrome-nomascus_leucogenys	ferritin-nomascus_leucogenys	ferritin-papio_anubis	ferritin-chlorocebus_sabaeus	ferritin-pan_paniscus	ferritin-macaca_fascicularis	ferritin-gorilla_gorilla_gorilla	ferritin-homo_sapiens	insulin-chlorocebus_sabaeus	insulin-gorilla_gorilla_gorilla	insulin-homo_sapiens	insulin-macaca_fascicularis	insulin-nomascus_leucogenys	insulin-pan_paniscus	insulin-papio_anubis	keratin-homo_sapiens	keratin-pan_paniscus	keratin-nomascus_leucogenys	keratin-gorilla_gorilla_gorilla	keratin-macaca_fascicularis	keratin-chlorocebus_sabaeus	keratin-papio_anubis	myosin-homo_sapiens	myosin-gorilla_gorilla_gorilla	myosin-pan_paniscus	myosin-papio_anubis	myosin-nomascus_leucogenys	myosin-macaca_fascicularis	myosin-chlorocebus_sabaeus	p53-pan_paniscus	p53-gorilla_gorilla_gorilla	p53-nomascus_leucogenys	p53-homo_sapiens	p53-chlorocebus_sabaeus	p53-papio_anubis	p53-macaca_fascicularis
collagen-macaca_fascicularis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0106699999999999	0.02964	0.03964	0.0	0.0326	0.0308199999999999	0.00415	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
collagen-nomascus_leucogenys	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0331999999999998	0.02193	0.0307699999999999	0.0326	0.0	0.02193	0.0331999999999998	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
collagen-pan_paniscus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03142	0.01186	0.0165699999999999	0.0308199999999999	0.02193	0.0	0.03142	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.69048	1.0	1.0	1.0	1.0
collagen-papio_anubis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.01126	0.0302299999999999	0.04024	0.00415	0.0331999999999998	0.03142	0.0	1.0	0.63636	1.0	1.0	1.0	0.63636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cytochrome-homo_sapiens	0.55	0.6	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.05769	0.0673099999999999	0.0769199999999998	0.0769199999999998	0.0769199999999998	0.0865399999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cytochrome-chlorocebus_sabaeus	0.55	0.6	0.6	1.0	1.0	1.0	1.0	0.63636	0.63636	0.63636	0.63636	0.63636	0.63636	0.63636	0.05769	0.0	0.0761899999999999	0.0952399999999999	0.0857099999999999	0.01905	0.1047599999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cytochrome-pan_paniscus	0.55	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0673099999999999	0.0761899999999999	0.0	0.1047599999999999	0.0381	0.0952399999999999	0.06667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cytochrome-macaca_fascicularis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0769199999999998	0.0952399999999999	0.1047599999999999	0.0	0.11429	0.0952399999999999	0.11429	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cytochrome-gorilla_gorilla_gorilla	0.55	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0769199999999998	0.0857099999999999	0.0381	0.11429	0.0	0.1047599999999999	0.0857099999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cytochrome-papio_anubis	0.55	0.6	0.6	1.0	1.0	1.0	1.0	0.63636	0.63636	0.63636	0.63636	0.63636	0.63636	0.63636	0.0769199999999998	0.01905	0.0952399999999999	0.0952399999999999	0.1047599999999999	0.0	0.1047599999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cytochrome-nomascus_leucogenys	0.55	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0865399999999999	0.1047599999999999	0.06667	0.11429	0.0857099999999999	0.1047599999999999	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ferritin-nomascus_leucogenys	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0109299999999999	0.0218600000000001	0.02732	0.02732	0.03825	0.05291	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ferritin-papio_anubis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0109299999999999	0.0	0.0109299999999999	0.02732	0.0163899999999999	0.03825	0.05291	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ferritin-chlorocebus_sabaeus	1.0	1.0	1.0	1.0	1.0	1.0	0.35714	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0218600000000001	0.0109299999999999	0.0	0.0327899999999999	0.02732	0.0491800000000001	0.06349	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ferritin-pan_paniscus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.02732	0.02732	0.0327899999999999	0.0	0.0437199999999999	0.05464	0.0687799999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.6	0.6	1.0	0.6	0.6	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ferritin-macaca_fascicularis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.02732	0.0163899999999999	0.02732	0.0437199999999999	0.0	0.0491800000000001	0.0687799999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ferritin-gorilla_gorilla_gorilla	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03825	0.03825	0.0491800000000001	0.05464	0.0491800000000001	0.0	0.0793699999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.65	1.0	0.65	0.65	0.65	0.65	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ferritin-homo_sapiens	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.6	0.6	0.6	0.6	0.6	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.05291	0.05291	0.06349	0.0687799999999999	0.0687799999999999	0.0793699999999999	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
insulin-chlorocebus_sabaeus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0260899999999999	0.0454499999999999	0.0204099999999999	0.00909	0.17703	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
insulin-gorilla_gorilla_gorilla	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0260899999999999	0.0	0.02727	0.01739	0.0181799999999999	0.2598	0.02727	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
insulin-homo_sapiens	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0454499999999999	0.02727	0.0	0.0363599999999999	0.0363599999999999	0.0363599999999999	0.0454499999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
insulin-macaca_fascicularis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0204099999999999	0.01739	0.0363599999999999	0.0	0.0	0.0544199999999999	0.00909	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
insulin-nomascus_leucogenys	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00909	0.0181799999999999	0.0363599999999999	0.0	0.0	0.0181799999999999	0.00909	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
insulin-pan_paniscus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.17703	0.2598	0.0363599999999999	0.0544199999999999	0.0181799999999999	0.0	0.02727	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
insulin-papio_anubis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.02727	0.0454499999999999	0.00909	0.00909	0.02727	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
keratin-homo_sapiens	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0020299999999999	0.0121999999999999	0.00406	0.0203299999999999	0.0142299999999999	0.0182899999999999	0.77852	0.72973	0.72436	0.7735000000000001	0.77705	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
keratin-pan_paniscus	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0020299999999999	0.0	0.0121999999999999	0.0020299999999999	0.0203299999999999	0.0142299999999999	0.0182899999999999	0.77852	0.68519	0.72436	0.7735000000000001	0.77705	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
keratin-nomascus_leucogenys	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0121999999999999	0.0121999999999999	0.0	0.01016	0.0141999999999999	0.01217	0.0141999999999999	0.7449	0.68519	0.73171	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
keratin-gorilla_gorilla_gorilla	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00406	0.0020299999999999	0.01016	0.0	0.0182899999999999	0.01626	0.0182899999999999	0.77852	0.72973	0.72638	0.7735000000000001	0.77705	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
keratin-macaca_fascicularis	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0203299999999999	0.0203299999999999	0.0141999999999999	0.0182899999999999	0.0	0.0060899999999999	0.00811	0.7222200000000001	0.68519	0.72414	0.7735000000000001	0.77705	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
keratin-chlorocebus_sabaeus	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0142299999999999	0.0142299999999999	0.01217	0.01626	0.0060899999999999	0.0	0.00406	0.77852	0.68519	0.72414	0.7735000000000001	0.77705	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
keratin-papio_anubis	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	0.4705899999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0182899999999999	0.0182899999999999	0.0141999999999999	0.0182899999999999	0.00811	0.00406	0.0	0.77852	0.72973	0.72414	0.7735000000000001	0.77705	0.7735000000000001	0.76166	1.0	1.0	1.0	1.0	1.0	1.0	1.0
myosin-homo_sapiens	0.62069	0.67308	0.67308	0.71429	0.71429	0.71429	0.71429	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.77852	0.77852	0.7449	0.77852	0.7222200000000001	0.77852	0.77852	0.0	0.00773	0.01033	0.0159999999999999	0.01497	0.0170399999999999	0.01753	1.0	1.0	1.0	1.0	1.0	1.0	1.0
myosin-gorilla_gorilla_gorilla	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.72973	0.68519	0.68519	0.72973	0.68519	0.68519	0.72973	0.00773	0.0	0.0072199999999998	0.0144299999999999	0.01186	0.01546	0.0139199999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0
myosin-pan_paniscus	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.72436	0.72436	0.73171	0.72638	0.72414	0.72414	0.72414	0.01033	0.0072199999999998	0.0	0.0154900000000001	0.0108499999999999	0.0165199999999999	0.0154699999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0
